timestamp,name,rating,feedback,title
2026-03-01 14:24:26,User_1,3,Recommendations are getting better,Recommendations are getting be...
2026-02-22 14:24:26,User_2,2,App is slow on my older device,App is slow on my older device...
2026-02-06 14:24:26,User_3,1,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-06 14:24:26,User_4,5,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-27 14:24:26,User_5,4,Need more audio quality options,Need more audio quality option...
2026-02-28 14:24:26,User_6,5,Best music app I've ever used,Best music app I've ever used...
2026-02-23 14:24:26,User_7,1,The app crashes every time I open it,The app crashes every time I o...
2026-02-10 14:24:26,User_8,2,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-23 14:24:26,User_9,2,The app crashes every time I open it,The app crashes every time I o...
2026-02-07 14:24:26,User_10,3,App is slow on my older device,App is slow on my older device...
2026-02-22 14:24:26,User_11,1,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-21 14:24:26,User_12,4,Please add dark mode support,Please add dark mode support...
2026-02-05 14:24:26,User_13,1,Downloaded songs disappear,Downloaded songs disappear...
2026-02-07 14:24:26,User_14,1,Downloaded songs disappear,Downloaded songs disappear...
2026-02-21 14:24:26,User_15,5,The social features are amazing,The social features are amazin...
2026-01-30 14:24:26,User_16,1,Subscription price is too high,Subscription price is too high...
2026-02-26 14:24:26,User_17,1,Downloaded songs disappear,Downloaded songs disappear...
2026-02-26 14:24:26,User_18,5,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-10 14:24:26,User_19,2,Battery drain has gotten worse,Battery drain has gotten worse...
2026-02-06 14:24:26,User_20,1,Search feature is broken,Search feature is broken...
2026-02-26 14:24:26,User_21,4,Please add dark mode support,Please add dark mode support...
2026-02-27 14:24:26,User_22,3,Need more audio quality options,Need more audio quality option...
2026-02-03 14:24:26,User_23,1,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-01 14:24:26,User_24,5,Recommendations are getting better,Recommendations are getting be...
2026-02-11 14:24:26,User_25,4,Customer support was very helpful,Customer support was very help...
2026-02-27 14:24:26,User_26,2,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-22 14:24:26,User_27,2,The app crashes every time I open it,The app crashes every time I o...
2026-02-27 14:24:26,User_28,1,Downloaded songs disappear,Downloaded songs disappear...
2026-02-02 14:24:26,User_29,3,Customer support was very helpful,Customer support was very help...
2026-02-21 14:24:26,User_30,5,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-03 14:24:26,User_31,4,Please add dark mode support,Please add dark mode support...
2026-02-18 14:24:26,User_32,1,Battery drain has gotten worse,Battery drain has gotten worse...
2026-02-08 14:24:26,User_33,1,Battery drain has gotten worse,Battery drain has gotten worse...
2026-01-31 14:24:26,User_34,3,Search feature is broken,Search feature is broken...
2026-02-27 14:24:26,User_35,5,Recommendations are getting better,Recommendations are getting be...
2026-02-24 14:24:26,User_36,5,Best music app I've ever used,Best music app I've ever used...
2026-02-22 14:24:26,User_37,2,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-17 14:24:26,User_38,2,Subscription price is too high,Subscription price is too high...
2026-02-07 14:24:26,User_39,3,Search feature is broken,Search feature is broken...
2026-02-08 14:24:26,User_40,1,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-22 14:24:26,User_41,1,Battery drain has gotten worse,Battery drain has gotten worse...
2026-02-04 14:24:26,User_42,3,Customer support was very helpful,Customer support was very help...
2026-02-21 14:24:26,User_43,2,Battery drain has gotten worse,Battery drain has gotten worse...
2026-01-31 14:24:26,User_44,4,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-19 14:24:26,User_45,5,Best music app I've ever used,Best music app I've ever used...
2026-02-14 14:24:26,User_46,2,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-15 14:24:26,User_47,5,The social features are amazing,The social features are amazin...
2026-02-25 14:24:26,User_48,2,Subscription price is too high,Subscription price is too high...
2026-02-12 14:24:26,User_49,2,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-06 14:24:26,User_50,1,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-01 14:24:26,User_51,5,Best music app I've ever used,Best music app I've ever used...
2026-02-18 14:24:26,User_52,5,Best music app I've ever used,Best music app I've ever used...
2026-02-13 14:24:26,User_53,1,Offline mode doesn't work after update,Offline mode doesn't work afte...
2026-02-05 14:24:26,User_54,2,Please add dark mode support,Please add dark mode support...
2026-02-25 14:24:26,User_55,1,The app crashes every time I open it,The app crashes every time I o...
2026-02-04 14:24:26,User_56,3,Recommendations are getting better,Recommendations are getting be...
2026-02-10 14:24:26,User_57,4,Recommendations are getting better,Recommendations are getting be...
2026-02-17 14:24:26,User_58,5,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-13 14:24:26,User_59,5,Best music app I've ever used,Best music app I've ever used...
2026-02-02 14:24:26,User_60,3,Search feature is broken,Search feature is broken...
2026-02-06 14:24:26,User_61,2,The app crashes every time I open it,The app crashes every time I o...
2026-02-01 14:24:26,User_62,5,"Love the new UI update, very clean!","Love the new UI update, very c..."
2026-02-05 14:24:26,User_63,1,Keeps logging me out randomly,Keeps logging me out randomly...
2026-02-26 14:24:26,User_64,4,Recommendations are getting better,Recommendations are getting be...
2026-02-24 14:24:26,User_65,2,Search feature is broken,Search feature is broken...
2026-01-30 14:24:26,User_66,2,Please add dark mode support,Please add dark mode support...
